age,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,name,team
27,7,1,2,0,0,0,0,2,0,0,1,0,.167,6,.167,.167,.334,1,0,.000,1.000,0,24,6,1,1,5,0,0,.250,0.50,0,-.--,Alika Williams,Athletics
31,38,22,44,12,2,0,7,52,17,1,27,1,.189,143,.276,.350,.626,0,2,1.000,.000,3,580,163,50,25,70,0,2,.233,0.50,0,20.43,Brent Rooker,Athletics
29,45,38,35,13,8,1,5,15,19,0,44,2,.336,131,.425,.527,.952,0,1,1.000,.000,4,633,153,69,17,52,0,1,.348,1.09,0,26.20,Carlos Cortes,Athletics
25,17,6,10,4,2,0,1,9,2,0,11,0,.314,35,.351,.457,.808,0,0,.---,.---,0,133,38,16,5,14,1,0,.400,0.60,0,35.00,Colby Thomas,Athletics
24,40,21,36,11,2,0,1,17,11,0,27,1,.273,99,.351,.323,.674,0,3,1.000,.000,1,448,113,32,7,47,2,0,.321,0.58,0,99.00,Darell Hernaiz,Athletics
22,14,12,9,3,2,0,0,11,6,0,12,1,.279,43,.373,.326,.699,2,4,.667,.333,1,176,51,14,4,11,0,1,.364,1.33,0,-.--,Henry Bolte,Athletics
27,12,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,.---,.---,0,0,0,0,0,0,0,0,.---,-.--,0,-.--,J.T. Ginn,Athletics
26,15,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,.---,.---,0,0,0,0,0,0,0,0,.---,-.--,0,-.--,Jack Perkins,Athletics
34,53,54,49,15,9,0,2,27,16,1,44,3,.257,171,.328,.345,.673,2,1,.333,.667,5,718,193,59,15,65,1,2,.292,1.10,0,85.50,Jeff McNeil,Athletics
31,21,20,21,7,6,0,1,13,7,0,13,0,.197,66,.270,.333,.603,0,0,.---,.---,2,281,74,22,8,35,0,1,.226,0.95,0,66.00,Jonah Heim,Athletics
25,50,45,30,17,3,0,3,43,18,1,23,0,.163,141,.258,.248,.506,2,4,.667,.333,3,664,159,35,13,56,0,0,.211,1.50,0,47.00,Lawrence Butler,Athletics
23,55,31,37,35,11,1,8,75,52,6,54,2,.274,197,.430,.462,.892,1,6,.857,.143,3,1091,251,91,37,65,0,0,.404,0.84,0,24.62,Nick Kurtz,Athletics
28,51,33,67,36,12,0,13,47,20,1,62,4,.298,208,.369,.543,.912,0,0,.---,.---,4,839,233,113,28,98,0,1,.329,0.49,0,16.00,Shea Langeliers,Athletics
24,53,58,58,24,16,2,6,44,23,2,42,1,.209,201,.292,.398,.690,1,1,.500,.500,5,821,226,80,25,112,0,1,.237,1.00,0,33.50,Tyler Soderstrom,Athletics
26,40,30,33,21,4,1,6,34,8,0,31,1,.246,126,.296,.437,.733,0,6,1.000,.000,3,527,137,55,17,52,2,0,.291,0.91,0,21.00,Zack Gelof,Athletics
31,50,40,52,33,12,1,14,50,25,0,52,1,.269,193,.355,.560,.915,0,0,.---,.---,2,898,220,108,36,87,0,1,.292,0.77,0,13.79,Brandon Lowe,Pittsburgh Pirates
31,56,57,37,33,11,2,4,53,36,2,53,3,.266,199,.385,.402,.787,0,4,1.000,.000,4,943,239,80,34,80,0,1,.343,1.54,0,49.75,Bryan Reynolds,Pittsburgh Pirates
26,8,1,6,4,1,0,0,6,10,0,6,0,.316,19,.552,.368,.920,0,0,.---,.---,0,122,29,7,2,6,0,0,.462,0.17,0,-.--,Endy Rodríguez,Pittsburgh Pirates
22,5,3,2,2,0,0,2,9,2,0,2,0,.125,16,.222,.500,.722,0,0,.---,.---,0,75,18,8,5,12,0,0,.000,1.50,0,8.00,Esmerlyn Valdez,Pittsburgh Pirates
26,39,31,40,12,3,0,4,23,11,0,15,3,.139,108,.238,.278,.516,0,1,1.000,.000,2,436,123,30,10,64,1,0,.136,0.78,0,27.00,Henry Davis,Pittsburgh Pirates
30,37,37,13,14,2,0,0,21,8,1,23,2,.250,92,.324,.272,.596,0,6,1.000,.000,3,366,104,25,6,55,2,0,.324,2.85,0,-.--,Jake Mangum,Pittsburgh Pirates
28,24,21,13,4,2,0,0,16,3,0,16,1,.246,65,.290,.277,.567,0,1,1.000,.000,3,269,70,18,3,30,1,0,.327,1.62,0,-.--,Jared Triolo,Pittsburgh Pirates
23,7,5,5,0,0,0,0,6,1,0,5,0,.238,21,.273,.238,.511,0,0,.---,.---,1,65,22,5,1,13,0,0,.333,1.00,0,-.--,Jhostynxon Garcia,Pittsburgh Pirates
20,49,52,30,29,8,2,4,53,14,0,47,3,.261,180,.322,.394,.716,1,12,.923,.077,2,751,199,71,21,83,0,2,.344,1.73,0,45.00,Konnor Griffin,Pittsburgh Pirates
35,46,27,57,14,5,0,5,56,18,1,32,2,.186,172,.271,.302,.573,0,0,.---,.---,4,836,192,52,21,103,0,0,.243,0.47,0,34.40,Marcell Ozuna,Pittsburgh Pirates
27,50,59,36,23,9,0,0,36,13,0,55,3,.297,185,.351,.346,.697,2,3,.600,.400,5,752,202,64,22,77,0,1,.367,1.64,0,-.--,Nick Gonzales,Pittsburgh Pirates
27,54,51,27,38,10,0,11,87,18,2,58,3,.260,223,.324,.453,.777,3,17,.850,.150,3,983,244,101,35,82,0,0,.376,1.89,0,20.27,Oneil Cruz,Pittsburgh Pirates
28,51,44,47,21,7,1,6,24,26,0,45,2,.288,156,.388,.462,.850,0,1,1.000,.000,8,744,188,72,25,71,0,4,.300,0.94,0,26.00,Spencer Horwitz,Pittsburgh Pirates
30,26,8,6,5,2,0,0,13,3,0,6,0,.188,32,.257,.250,.507,1,4,.800,.200,1,132,36,8,2,14,1,0,.316,1.33,0,-.--,Bryce Johnson,San Diego Padres
27,54,58,44,19,6,1,0,51,24,1,52,2,.260,200,.339,.300,.639,6,14,.700,.300,5,839,231,60,16,58,1,4,.340,1.32,0,-.--,Fernando Tatis Jr.,San Diego Padres
31,40,29,30,11,4,0,0,23,11,0,13,2,.140,93,.241,.183,.424,1,0,.000,1.000,1,422,108,17,3,45,0,2,.181,0.97,0,-.--,Freddy Fermin,San Diego Padres
30,50,38,40,21,10,0,9,37,17,0,38,1,.248,153,.327,.490,.817,0,3,1.000,.000,4,717,171,75,23,54,0,0,.271,0.95,0,17.00,Gavin Sheets,San Diego Padres
23,52,51,52,24,11,0,4,55,18,2,39,1,.200,195,.271,.318,.589,0,10,1.000,.000,4,869,216,62,19,73,2,0,.257,0.98,0,48.75,Jackson Merrill,San Diego Padres
33,53,58,53,27,5,0,9,51,26,1,32,0,.169,189,.265,.339,.604,1,1,.500,.500,5,890,220,64,27,76,1,4,.173,1.09,0,21.00,Manny Machado,San Diego Padres
31,44,51,38,17,12,2,5,29,5,1,43,1,.267,161,.293,.460,.753,2,1,.333,.667,5,624,167,74,17,69,0,0,.299,1.34,0,32.20,Miguel Andujar,San Diego Padres
