player_name,team,player_type,games,atBats,hits,doubles,triples,homeRuns,rbi,runs,walks,strikeouts,stolenBases,hbp,ops,total_bases,sorare_score,sorare_avg_per_game
Alika Williams,Athletics,HITTER,7,6,1,0,0,0,1,0,0,2,0,0,0.334,1,3,0.43
Brent Rooker,Athletics,HITTER,38,143,27,2,0,7,25,12,17,52,2,1,0.626,50,221,5.82
Carlos Cortes,Athletics,HITTER,45,131,44,8,1,5,17,13,19,15,1,2,0.952,69,280,6.22
Colby Thomas,Athletics,HITTER,17,35,11,2,0,1,5,4,2,9,0,0,0.808,16,58,3.41
Darell Hernaiz,Athletics,HITTER,40,99,27,2,0,1,7,11,11,17,3,1,0.674,32,144,3.6
Henry Bolte,Athletics,HITTER,14,43,12,2,0,0,4,3,6,11,4,1,0.699,14,74,5.29
J.T. Ginn,Athletics,HITTER,12,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Jack Perkins,Athletics,HITTER,15,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Jeff McNeil,Athletics,HITTER,53,171,44,9,0,2,15,15,16,27,1,3,0.673,59,237,4.47
Jonah Heim,Athletics,HITTER,21,66,13,6,0,1,8,7,7,13,0,0,0.603,22,98,4.67
Lawrence Butler,Athletics,HITTER,50,141,23,3,0,3,13,17,18,43,4,0,0.506,35,182,3.64
Nick Kurtz,Athletics,HITTER,55,197,54,11,1,8,37,35,52,75,6,2,0.892,91,490,8.91
Shea Langeliers,Athletics,HITTER,51,208,62,12,0,13,28,36,20,47,0,4,0.912,113,457,8.96
Tyler Soderstrom,Athletics,HITTER,53,201,42,16,2,6,25,24,23,44,1,1,0.69,80,348,6.57
Zack Gelof,Athletics,HITTER,40,126,31,4,1,6,17,21,8,34,6,1,0.733,55,256,6.4
Brandon Lowe,Pittsburgh Pirates,HITTER,50,193,52,12,1,14,36,33,25,50,0,1,0.915,108,467,9.34
Bryan Reynolds,Pittsburgh Pirates,HITTER,56,199,53,11,2,4,34,33,36,53,4,3,0.787,80,429,7.66
Endy Rodríguez,Pittsburgh Pirates,HITTER,8,19,6,1,0,0,2,4,10,6,0,0,0.92,7,47,5.88
Esmerlyn Valdez,Pittsburgh Pirates,HITTER,5,16,2,0,0,2,5,2,2,9,0,0,0.722,8,36,7.2
Henry Davis,Pittsburgh Pirates,HITTER,39,108,15,3,0,4,10,12,11,23,1,3,0.516,30,147,3.77
Jake Mangum,Pittsburgh Pirates,HITTER,37,92,23,2,0,0,6,14,8,21,6,2,0.596,25,141,3.81
Jared Triolo,Pittsburgh Pirates,HITTER,24,65,16,2,0,0,3,4,3,16,1,1,0.567,18,56,2.33
Jhostynxon Garcia,Pittsburgh Pirates,HITTER,7,21,5,0,0,0,1,0,1,6,0,0,0.511,5,9,1.29
Konnor Griffin,Pittsburgh Pirates,HITTER,49,180,47,8,2,4,21,29,14,53,12,3,0.716,71,353,7.2
Marcell Ozuna,Pittsburgh Pirates,HITTER,46,172,32,5,0,5,21,14,18,56,0,2,0.573,52,208,4.52
Nick Gonzales,Pittsburgh Pirates,HITTER,50,185,55,9,0,0,22,23,13,36,3,3,0.697,64,283,5.66
Oneil Cruz,Pittsburgh Pirates,HITTER,54,223,58,10,0,11,35,38,18,87,17,3,0.777,101,493,9.13
Spencer Horwitz,Pittsburgh Pirates,HITTER,51,156,45,7,1,6,25,21,26,24,1,2,0.85,72,340,6.67
Bryce Johnson,San Diego Padres,HITTER,26,32,6,2,0,0,2,5,3,13,4,0,0.507,8,52,2.0
Fernando Tatis Jr.,San Diego Padres,HITTER,54,200,52,6,1,0,16,19,24,51,14,2,0.639,60,304,5.63
Freddy Fermin,San Diego Padres,HITTER,40,93,13,4,0,0,3,11,11,23,0,2,0.424,17,83,2.08
Gavin Sheets,San Diego Padres,HITTER,50,153,38,10,0,9,23,21,17,37,3,1,0.817,75,324,6.48
Jackson Merrill,San Diego Padres,HITTER,52,195,39,11,0,4,19,24,18,55,10,1,0.589,62,305,5.87
Manny Machado,San Diego Padres,HITTER,53,189,32,5,0,9,27,27,26,51,1,0,0.604,64,319,6.02
Miguel Andujar,San Diego Padres,HITTER,44,161,43,12,2,5,17,17,5,29,1,1,0.753,74,264,6.0
Nick Castellanos,San Diego Padres,HITTER,38,113,21,5,0,4,19,9,5,33,1,0,0.554,38,155,4.08
Ramón Laureano,San Diego Padres,HITTER,51,175,37,6,2,7,21,22,18,64,5,2,0.678,68,290,5.69
Rodolfo Durán,San Diego Padres,HITTER,10,20,2,0,0,1,2,2,3,7,0,1,0.5,5,25,2.5
Sung-Mun Song,San Diego Padres,HITTER,15,21,4,1,0,0,4,3,4,5,2,0,0.558,5,45,3.0
Ty France,San Diego Padres,HITTER,35,95,26,3,2,5,16,10,3,25,1,1,0.808,48,179,5.11
Xander Bogaerts,San Diego Padres,HITTER,53,192,47,3,0,7,24,22,19,37,9,0,0.681,71,343,6.47
Cole Young,Seattle Mariners,HITTER,57,198,48,10,1,3,27,25,19,49,2,5,0.669,69,321,5.63
Colt Emerson,Seattle Mariners,HITTER,10,31,8,3,1,1,6,5,4,8,0,1,0.877,16,74,7.4
Dominic Canzone,Seattle Mariners,HITTER,48,114,27,9,0,5,21,16,12,29,1,2,0.762,51,236,4.92
Gabe Speier,Seattle Mariners,HITTER,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
J.P. Crawford,Seattle Mariners,HITTER,48,170,36,4,0,7,19,25,29,36,1,4,0.697,61,307,6.4
Jhonny Pereda,Seattle Mariners,HITTER,9,27,5,0,0,1,1,4,3,5,0,1,0.586,8,36,4.0
Josh Naylor,Seattle Mariners,HITTER,53,209,54,5,0,5,24,20,19,32,12,1,0.676,74,363,6.85
